# MineGuard-AI Synthetic Surface Subsidence Dataset (SIH26025 Demonstration Dataset)
# DISCLAIMER: Synthetic dataset validation — not field prediction accuracy.
node_id,tilt_x_deg,tilt_y_deg,tilt_magnitude_deg,vibration_rms,displacement_mm,crack_detected,neighbour_anomaly_count,risk_label
N02,2.94,2.1,3.61,0.56,7.4,0,1,1
N01,3.58,1.98,4.09,0.313,8.9,1,1,1
N02,8.37,7.77,11.42,1.604,24.2,1,3,2
N02,4.77,7.66,9.02,0.819,14.0,1,2,2
N02,0.24,0.72,0.76,0.131,0.9,0,0,0
N02,2.42,1.29,2.74,0.415,7.8,1,2,1
N04,7.44,6.66,9.99,1.217,21.4,1,2,2
N04,-0.57,-0.45,0.73,0.079,1.1,0,0,0
N02,0.24,0.31,0.39,0.122,1.5,0,1,0
N04,5.25,4.15,6.69,0.899,15.5,0,3,2
N04,-0.11,0.32,0.34,0.052,1.6,0,0,0
N01,-0.47,0.44,0.64,0.047,2.5,0,1,0
N04,8.01,5.81,9.9,1.567,21.2,0,3,2
N02,7.75,7.38,10.7,1.608,25.0,1,3,2
N04,3.05,1.65,3.47,0.393,7.8,1,1,1
N04,-0.63,-0.51,0.81,0.056,0.1,0,1,0
N01,-0.32,-0.59,0.67,0.1,1.4,0,0,0
N04,2.44,1.87,3.07,0.212,4.9,0,2,1
N03,3.65,2.44,4.39,0.327,6.5,1,2,1
N01,-0.01,0.4,0.4,0.111,1.9,0,0,0
N03,-0.06,0.04,0.07,0.105,1.2,0,0,0
N02,-0.31,-0.59,0.67,0.029,1.8,0,0,0
N02,-0.69,0.64,0.94,0.023,0.2,0,0,0
N02,-0.3,-0.12,0.32,0.05,1.1,0,0,0
N03,1.97,2.56,3.23,0.545,4.8,0,2,1
N02,2.86,1.55,3.25,0.453,6.8,0,2,1
N04,3.69,2.85,4.66,0.225,8.1,0,2,1
N02,0.11,-0.27,0.29,0.12,2.3,0,0,0
N03,7.2,6.14,9.46,1.03,21.0,1,3,2
N01,1.72,2.16,2.76,0.244,5.5,1,1,1
N01,2.33,1.45,2.74,0.374,6.9,0,2,1
N02,0.56,0.38,0.68,0.071,2.5,0,1,0
N03,8.0,6.82,10.51,1.849,14.8,0,3,2
N04,1.52,2.67,3.07,0.484,5.5,0,2,1
N01,2.23,3.01,3.75,0.435,6.5,1,2,1
N03,0.16,0.05,0.17,0.096,1.5,0,1,0
N03,-0.3,-0.2,0.36,0.038,1.3,0,0,0
N01,-0.11,-0.76,0.77,0.062,0.2,0,1,0
N02,0.71,-0.48,0.86,0.108,2.2,0,0,0
N03,3.71,2.46,4.45,0.57,3.7,0,1,1
N02,6.87,4.15,8.03,1.834,22.5,0,2,2
N02,1.81,2.37,2.98,0.585,8.0,0,1,1
N02,0.66,0.63,0.91,0.13,1.8,0,0,0
N01,-0.19,-0.43,0.47,0.142,1.4,0,0,0
N03,0.13,0.38,0.4,0.139,2.1,0,1,0
N01,0.1,-0.3,0.32,0.145,2.0,0,0,0
N04,2.21,2.51,3.34,0.33,8.7,0,1,1
N01,0.77,0.51,0.92,0.066,1.5,0,1,0
N03,0.3,-0.7,0.76,0.14,1.5,0,0,0
N03,8.2,6.59,10.52,1.164,18.1,1,3,2
N04,-0.36,-0.41,0.55,0.086,1.9,0,1,0
N02,-0.38,-0.16,0.41,0.148,0.8,0,0,0
N04,8.0,4.0,8.94,0.933,25.7,1,3,2
N03,1.61,3.18,3.56,0.415,8.8,1,2,1
N01,-0.58,0.17,0.6,0.026,1.0,0,0,0
N03,4.67,5.21,7.0,1.672,28.7,0,3,2
N02,1.62,1.77,2.4,0.521,6.5,1,2,1
N01,5.6,6.01,8.21,0.962,34.9,1,2,2
N01,2.52,2.26,3.38,0.282,8.3,0,1,1
N01,-0.41,-0.46,0.62,0.076,0.2,0,0,0
N02,0.07,0.43,0.44,0.137,2.3,0,0,0
N04,2.56,2.62,3.66,0.291,5.7,0,2,1
N03,4.81,7.0,8.49,1.799,12.1,1,2,2
N01,-0.23,-0.68,0.72,0.119,1.7,0,0,0
N04,0.58,-0.57,0.81,0.138,0.7,0,1,0
N02,-0.12,-0.7,0.71,0.13,2.1,0,1,0
N01,-0.69,-0.59,0.91,0.029,0.9,0,1,0
N04,0.08,-0.12,0.14,0.068,0.4,0,1,0
N01,2.55,1.29,2.86,0.23,8.4,0,2,1
N01,-0.13,0.13,0.18,0.069,1.3,0,0,0
N03,-0.76,-0.62,0.98,0.101,0.1,0,0,0
N03,0.22,-0.04,0.22,0.056,2.4,0,0,0
N02,1.94,1.92,2.73,0.466,3.9,0,2,1
N03,0.31,0.79,0.85,0.055,2.0,0,0,0
N03,-0.44,-0.31,0.54,0.024,2.5,0,1,0
N03,0.04,-0.48,0.48,0.07,1.1,0,0,0
N01,8.83,5.44,10.37,1.532,28.9,0,3,2
N01,6.13,7.39,9.6,2.026,33.6,1,3,2
N02,6.04,5.27,8.02,0.756,12.3,1,2,2
N03,0.31,0.41,0.51,0.103,1.4,0,1,0
N02,-0.49,0.25,0.55,0.136,1.5,0,0,0
N04,1.55,2.82,3.22,0.395,6.9,1,2,1
N02,-0.75,-0.46,0.88,0.079,1.1,0,1,0
N03,7.36,7.25,10.33,1.086,25.4,1,2,2
N01,-0.37,0.37,0.52,0.133,0.4,0,1,0
N01,1.99,1.71,2.62,0.484,7.1,0,1,1
N02,-0.3,0.22,0.37,0.105,0.3,0,0,0
N03,1.97,1.91,2.74,0.424,4.6,0,2,1
N01,0.56,0.07,0.56,0.125,1.5,0,0,0
N04,7.33,4.94,8.84,1.637,29.3,1,2,2
N01,0.07,-0.63,0.63,0.024,0.7,0,0,0
N01,2.2,1.81,2.85,0.511,5.7,0,1,1
N03,-0.29,0.76,0.81,0.109,1.8,0,0,0
N04,3.39,2.74,4.36,0.548,8.6,1,1,1
N01,6.64,7.35,9.91,1.987,34.0,1,2,2
N03,-0.04,-0.54,0.54,0.063,0.8,0,0,0
N04,-0.32,-0.55,0.64,0.133,1.1,0,0,0
N03,0.24,0.47,0.53,0.127,0.8,0,0,0
N04,-0.23,0.23,0.33,0.149,1.8,0,0,0
N02,2.02,2.55,3.25,0.231,5.0,1,1,1
N04,0.48,-0.57,0.75,0.146,2.0,0,0,0
N04,3.02,2.87,4.17,0.319,7.3,0,1,1
N02,1.79,1.0,2.05,0.596,5.6,1,1,1
N04,0.62,-0.34,0.71,0.082,0.8,0,0,0
N01,2.28,2.01,3.04,0.365,4.9,0,1,1
N03,0.69,0.0,0.69,0.094,0.0,0,0,0
N02,-0.47,0.06,0.47,0.055,0.5,0,0,0
N04,7.25,4.6,8.59,1.833,20.8,0,3,2
N03,2.61,3.11,4.06,0.295,6.5,0,2,1
N03,3.01,1.28,3.27,0.408,8.2,1,1,1
N03,5.17,4.13,6.62,0.815,28.7,1,2,2
N04,1.82,1.45,2.33,0.407,4.3,1,2,1
N03,6.36,5.89,8.67,1.706,12.0,1,3,2
N03,-0.49,0.01,0.49,0.04,0.2,0,0,0
N02,1.86,2.21,2.89,0.209,5.3,0,2,1
N02,4.63,7.33,8.67,1.649,19.0,1,2,2
N03,6.91,4.28,8.13,1.301,22.8,1,3,2
N04,0.04,-0.65,0.65,0.043,1.4,0,1,0
N04,-0.43,0.27,0.51,0.077,0.7,0,1,0
N03,8.41,7.64,11.36,2.099,12.9,1,2,2
N02,-0.49,0.72,0.87,0.126,0.2,0,1,0
N03,3.07,2.02,3.67,0.479,5.2,0,2,1
N02,0.13,-0.12,0.18,0.052,0.5,0,1,0
N01,8.6,6.73,10.92,0.956,32.7,1,3,2
N01,7.31,4.35,8.51,0.73,31.1,0,3,2
N02,7.66,7.13,10.46,1.942,27.1,1,2,2
N03,-0.72,-0.3,0.78,0.066,0.2,0,0,0
N04,-0.66,-0.46,0.8,0.117,1.3,0,0,0
N03,2.82,2.23,3.6,0.471,7.4,1,1,1
N01,4.98,5.76,7.61,1.749,34.1,0,3,2
N03,2.83,2.22,3.6,0.589,7.6,0,1,1
N03,0.54,-0.25,0.6,0.065,2.0,0,0,0
N04,-0.75,0.61,0.97,0.069,0.7,0,0,0
N02,0.24,-0.72,0.76,0.133,2.3,0,0,0
N02,0.01,0.48,0.48,0.023,1.4,0,0,0
N03,8.85,5.96,10.67,1.436,31.2,1,3,2
N04,0.79,0.24,0.83,0.084,0.3,0,1,0
N04,-0.69,-0.56,0.89,0.097,0.9,0,0,0
N04,7.53,5.07,9.08,1.606,14.5,0,2,2
N01,-0.16,0.3,0.34,0.088,1.0,0,0,0
N01,0.51,0.42,0.66,0.034,2.2,0,0,0
N02,-0.5,0.21,0.54,0.027,2.4,0,0,0
N04,-0.45,0.49,0.67,0.103,0.5,0,1,0
N02,0.33,-0.13,0.35,0.057,1.0,0,0,0
N01,2.93,2.87,4.1,0.552,5.7,1,1,1
N01,-0.62,0.2,0.65,0.147,1.3,0,1,0
N03,1.58,2.74,3.16,0.557,4.7,0,2,1
N03,2.67,2.41,3.6,0.23,5.1,1,1,1
N02,2.27,1.71,2.84,0.273,8.9,0,1,1
N02,-0.47,-0.46,0.66,0.09,0.6,0,1,0
N04,3.71,2.46,4.45,0.353,6.0,0,1,1
N01,0.75,0.39,0.85,0.106,0.2,0,0,0
N02,6.45,4.07,7.63,0.715,16.6,1,2,2
N02,-0.6,-0.08,0.61,0.118,0.7,0,0,0
N03,2.3,2.33,3.27,0.576,4.6,1,2,1
N01,0.38,-0.65,0.75,0.117,0.9,0,0,0
N03,1.69,3.2,3.62,0.483,4.7,1,1,1
N04,3.59,2.24,4.23,0.484,5.8,0,1,1
N02,-0.21,-0.57,0.61,0.04,2.2,0,0,0
N02,-0.7,0.4,0.81,0.079,2.0,0,0,0
N03,5.18,5.12,7.28,2.028,32.1,0,2,2
N04,-0.01,0.59,0.59,0.055,0.1,0,0,0
N02,6.0,6.35,8.74,1.52,33.6,0,3,2
N02,0.09,-0.24,0.26,0.025,0.1,0,0,0
N03,-0.19,-0.6,0.63,0.062,0.7,0,1,0
N03,0.59,-0.4,0.71,0.135,2.3,0,0,0
N01,3.27,2.97,4.42,0.251,8.6,0,1,1
N03,2.39,2.13,3.2,0.505,5.8,1,2,1
N04,3.65,2.0,4.16,0.386,5.9,0,1,1
N02,1.85,2.34,2.98,0.279,8.3,0,2,1
N02,-0.23,0.56,0.61,0.092,0.5,0,0,0
N02,-0.73,-0.06,0.73,0.049,0.9,0,0,0
N03,-0.12,-0.25,0.28,0.087,0.4,0,0,0
N03,2.78,1.51,3.16,0.225,4.9,0,2,1
N01,6.0,7.35,9.49,1.527,34.3,0,2,2
N01,4.99,5.22,7.22,1.791,27.3,1,2,2
N04,-0.16,-0.18,0.24,0.14,0.5,0,0,0
N01,0.29,0.37,0.47,0.066,1.6,0,0,0
N03,3.31,1.61,3.68,0.371,3.8,1,1,1
N02,1.53,1.42,2.09,0.476,7.4,0,1,1
N02,0.6,-0.37,0.7,0.128,2.3,0,1,0
N02,2.81,2.54,3.79,0.249,4.8,0,1,1
N03,0.67,0.01,0.67,0.091,1.9,0,0,0
N04,-0.11,0.78,0.79,0.085,2.2,0,0,0
N02,7.32,5.78,9.33,1.238,12.3,0,3,2
N04,1.67,2.99,3.42,0.553,7.0,1,1,1
N01,2.91,2.84,4.07,0.401,5.2,1,2,1
N02,-0.38,0.37,0.53,0.042,0.3,0,0,0
N01,1.57,3.19,3.56,0.451,7.2,1,1,1
N04,7.9,6.84,10.45,0.769,12.3,1,2,2
N02,2.56,2.34,3.47,0.469,5.7,1,1,1
N04,2.38,2.71,3.61,0.426,4.1,1,1,1
N03,2.7,2.98,4.02,0.552,6.8,1,2,1
N04,2.96,2.77,4.05,0.335,6.2,0,1,1
N04,0.5,0.17,0.53,0.135,1.1,0,0,0
N03,6.73,6.17,9.13,1.064,19.8,1,3,2
N03,2.56,1.38,2.91,0.298,6.6,0,2,1
N04,7.16,7.68,10.5,1.455,19.9,1,3,2
N01,-0.55,0.59,0.81,0.072,2.3,0,1,0
N03,3.48,1.64,3.85,0.219,4.6,0,2,1
N01,-0.62,0.54,0.82,0.146,1.2,0,0,0
N02,1.86,2.5,3.12,0.282,4.0,1,1,1
N02,-0.31,0.72,0.78,0.062,1.5,0,1,0
N02,-0.55,-0.02,0.55,0.034,2.0,0,0,0
N02,1.89,2.14,2.86,0.516,4.2,0,2,1
N01,-0.79,0.66,1.03,0.137,0.8,0,1,0
N01,3.22,2.38,4.0,0.412,8.4,0,2,1
N04,3.13,1.71,3.57,0.324,5.9,0,1,1
N03,3.41,1.49,3.72,0.426,8.3,0,1,1
N01,0.09,0.14,0.17,0.124,2.1,0,0,0
N01,-0.71,-0.26,0.76,0.078,2.2,0,0,0
N04,-0.69,0.75,1.02,0.147,2.0,0,0,0
N04,2.23,2.5,3.35,0.344,3.9,0,2,1
N02,6.56,7.43,9.91,1.522,22.2,1,3,2
N02,-0.76,-0.78,1.09,0.104,1.1,0,0,0
N02,-0.1,-0.09,0.13,0.03,0.3,0,0,0
N03,5.18,6.98,8.69,0.935,34.2,1,3,2
N03,0.45,-0.49,0.67,0.045,0.6,0,1,0
N03,2.82,2.61,3.84,0.49,7.2,0,1,1
N02,-0.03,-0.58,0.58,0.131,0.8,0,0,0
N04,-0.57,-0.35,0.67,0.048,1.2,0,1,0
N03,6.55,7.89,10.25,1.917,14.1,1,2,2
N04,-0.12,0.14,0.18,0.113,0.9,0,0,0
N04,0.45,-0.47,0.65,0.099,0.0,0,0,0
N01,5.88,6.98,9.13,1.318,21.6,1,2,2
N03,1.52,1.13,1.89,0.237,8.4,1,2,1
N03,8.36,6.93,10.86,1.641,22.6,1,3,2
N03,2.39,2.92,3.77,0.448,4.9,1,1,1
N03,2.84,2.67,3.9,0.324,4.0,1,1,1
N02,-0.08,-0.4,0.41,0.125,1.6,0,0,0
N01,0.0,0.31,0.31,0.095,1.1,0,0,0
N02,3.22,2.75,4.23,0.35,5.2,0,1,1
N02,0.61,-0.17,0.63,0.068,1.6,0,0,0
N03,0.55,-0.12,0.56,0.074,2.2,0,0,0
N01,-0.52,0.06,0.52,0.081,1.4,0,0,0
N04,1.79,2.95,3.45,0.261,4.2,1,2,1
N03,6.3,7.84,10.06,1.194,12.7,1,2,2
N04,0.09,-0.75,0.76,0.044,1.2,0,1,0
N01,6.84,7.94,10.48,2.061,26.8,1,3,2
N03,6.69,6.36,9.23,1.463,22.1,1,3,2
